,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Load,3739,3791,3844,3898,3952,4008,4064,4121,4178,4237,4296,4356,4417,4479,4542,4606,4670,4735,4802,4869,4937
reservoir,465,465,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298,298
ee,33,99,124,146,166,183,199,214,227,241,254,268,281,294,307,321,334,347,360,373,386
gas,1184,1406,1406,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847,1847
coal,670,670,670,670,670,670,670,296,296,296,296,296,296,296,296,296,296,296,296,296,296
solar,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
contracts,181,107,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsg,100,107,114,121,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
river,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451
dr,20,35,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
wind,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823,823
